Title,Price,Link,Image Link,Scraped Date
Gengar No.094 Holo Rare Fossil Set Vintage 2000 Japanese Pokemon Card,$10.50,https://www.ebay.com/itm/388621821066,https://i.ebayimg.com/images/g/rooAAeSwBB1oWOuM/s-l140.jpg,2025-07-07
"Pokemon Tcg Gengar No. 094 Japanese Holo Foil, Mystery Of The Fossils (Mp)",$23.99,https://www.ebay.com/itm/135839103836,https://i.ebayimg.com/images/g/ffEAAOSwjcRoLtLj/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$7.00,https://www.ebay.com/itm/286673994242,https://i.ebayimg.com/images/g/Xc0AAeSwIidoXCk-/s-l140.jpg,2025-07-07
Gengar Lv 38 094 Old Fossil Set 1997 Pokemon Holo Mp-Hp Japanese Ver,$35.00,https://www.ebay.com/itm/388666710032,https://i.ebayimg.com/images/g/dAgAAeSwgRBoZ2~O/s-l140.jpg,2025-07-07
Pokemon Tcg Gengar Fossil #20/62 Non-Holo Rare Card Wotc,$9.50,https://www.ebay.com/itm/336009149215,https://i.ebayimg.com/images/g/T6IAAeSw21hoSc7B/s-l140.jpg,2025-07-07
1999 Pokemon Fossilgengar#20Nm7102640161,$50.00,https://www.ebay.com/itm/157055710421,https://i.ebayimg.com/images/g/wt8AAeSw8xpoPl1Y/s-l140.jpg,2025-07-07
Gengar Japanese And English Holo Foil Fossil,$49.99,https://www.ebay.com/itm/326633504264,https://i.ebayimg.com/images/g/Jf4AAeSwbjdoSiQK/s-l140.jpg,2025-07-07
1999 Pokemon Fossil Gengar #20 Holo,$42.52,https://www.ebay.com/itm/177137163022,https://i.ebayimg.com/images/g/P~IAAeSw3lpoOLqC/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Unlimited Regular 1999 Wizards Of The Coast Wotc Mp Mod Play,$9.95,https://www.ebay.com/itm/167616550875,https://i.ebayimg.com/images/g/rUYAAeSwFfloYGgX/s-l140.jpg,2025-07-07
Nm -  Pokémon Tcg Gengar 20/62 Fossil Set Non Holo Rare Unlimited 1999 Wotc,$14.99,https://www.ebay.com/itm/256993024430,https://i.ebayimg.com/images/g/pE4AAeSwwKRoXxM3/s-l140.jpg,2025-07-07
Pokémon Gengar Tcg Fossil Holo Card Japanese Edition,$1.35,https://www.ebay.com/itm/406023558832,https://i.ebayimg.com/images/g/X-8AAeSwrmhoaYWw/s-l140.jpg,2025-07-07
Gengar  20/62 Fossil Pokémon Card Tcg Non-Holo Rare 1999,$0.99,https://www.ebay.com/itm/396830161233,https://i.ebayimg.com/images/g/9L0AAeSwpHRoau16/s-l140.jpg,2025-07-07
Pokemon Gengar 20/62 Rare (1999 Fossil) Lp/Light Play,$15.99,https://www.ebay.com/itm/205386413489,https://i.ebayimg.com/images/g/6UYAAOSw9BJn6J-x/s-l140.jpg,2025-07-07
